,Folder,,,File,,Species 1,Species 2+,Note
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,0E97917F-9195-47D2-BD15-B9516BB0304E_57.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,0EFF5E98-2A9B-4013-AF53-0FE316F043F3_87.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,0FD9E87C-A96B-4CD6-BB53-0FF350DAE770_27.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,108E8BDA-48AB-42A3-9126-01A53FBD67B3_27.flac,,silvereye,Grey warbler,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,108E8BDA-48AB-42A3-9126-01A53FBD67B3_3.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezfan1,115839F4-E98E-4AA6-A8F5-0E3A94AB62CC_5.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,121D1D3E-2088-4C7F-86DB-15C283428794_297.flac,,Tui/bellbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,123280A4-5763-4ABD-83C2-B9AC26AEE4AC_87.flac,,Tui/bellbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,12B26358-C791-4F93-BE99-DB43EC73C2B4_117.flac,,Tui/bellbird,Eastern Rosella,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,13303C8E-6F1C-4780-939E-B1B2E75C5A2D_158.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,13B4D3C9-159B-46EA-8CA2-06E6D3A757E5_56.flac,,Kaka,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,13BA8705-FCF6-4404-87FC-2A962383586A_16.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,1464D7E0-8503-48A6-0B05-E85349ECC0EA_67.flac,,silvereye,Tui/bellbird,?rifleman
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,15309193-88D4-4C20-921D-507EE7FB479F_0.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,16339551-B752-47E2-952C-9983A44F9B81_297.flac,,Tui/bellbird,silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,165BD588-D113-4BA3-B959-4C8671A8262F_117.flac,,Grey warbler,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,1673BD8B-6729-4DB6-B33A-2EB0F6A97FA1_4.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,168A3730-BE3D-4AD4-9486-5A43F8D7B580_1.flac,,blackbird,Fantail,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,169F26FC-14B0-44C9-9125-B0ED70C27048_147.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,weta,16FA9FBA-9C77-406B-ADAC-0026C359CDD7_218.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,17995EBB-5151-4A38-916F-99CA4B9C2F8E_297.flac,,silvereye,"Kaka, tui/bellbird",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,17AD15A1-0F9F-45F2-0A4A-95B6419F6FE1_292.flac,,Morepork,,Very feint 
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,17B4C258-BB55-42D5-84C2-359F724C5324_260.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,190259BE-8C74-4B6B-908A-00DCC7A15052_106.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,191522B0-ABB4-42B0-9EA4-F6A72365411F_197.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1915FFF2-3F43-472E-0874-02972B2C3AF0_87.flac,,Tomtit,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,194AA047-4559-4B1F-BC6B-A1A8ABA1D14F_27.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,19945751-5CC6-4EC5-A6A8-0B74BF0AE410_147.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,parake,1A902A24-A7F8-4F48-B265-08359D3CD5D8_8.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,1ADEF085-674D-40F2-943E-43C272D3D3B6_0.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,1B01529D-8E0B-41EB-B8DD-9DE9EDD83E89_57.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,1B26EE18-56AC-4F33-AD76-19F6F9C4A52D_9.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1BA4B932-3399-44B7-BADE-0C5D1085EC18_57.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1BD75E53-6083-4D18-B376-80A2AF249E9E_87.flac,,Tui/bellbird,,Fly buzzing
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,1C7F671B-7F7C-405E-9CE0-20823FE54731_196.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1C9CD775-6CAD-4475-0AF9-4A49D389397E_117.flac,,Tomtit,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,1D51ED49-4A42-4816-80E9-397DB8CF19C1_0.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,1DFCD910-8450-4DEB-B339-49EFBA33A56F_57.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,1E0B9631-7160-45F1-A49E-07443E509581_124.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,1E2637B8-4338-4AD8-A147-0EB72CFAFE13_297.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,1E40F0EA-A6E7-40E7-8C86-97981AD0EE16_177.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1E97220F-9981-42CE-8E51-DF5AFBEC94E1_138.flac,,Kereru,Unknown high-pitched call,Kereru flight sound as well
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,1F00EACD-6FB2-4AB6-93A4-07E19529E758_207.flac,,Tomtit,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,1FB9A343-1D06-43FB-AA0D-1FCFD3E32D88_237.flac,,Tomtit,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,1FC738A4-FD6C-467F-8D39-08FCC822CFDD_117.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,riflem1,1FC738A4-FD6C-467F-8D39-08FCC822CFDD_124.flac,,Tomtit,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,1FE1B57F-1A30-4429-A429-FB55322757F8_133.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,205CE41F-81A2-471E-8740-E489F619D35E_207.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,20B5797F-6C84-419D-A7DF-4E7BF36F5291_207.flac,,blackbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,20F66A16-0DDC-4551-B5D0-2FADACF8963B_7.flac,,Grey warbler,"Blackbird, Unknown high-pitched call",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,maslap1,214EEA1B-DEA0-486A-9FCD-A1F3162DBF6C_291.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,218FC3C6-F877-4660-8AC3-833A9883FBDE_8.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,21E515B2-B322-4CEF-0AA9-5D1295DED171_21.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,22617004-9CD7-46F9-AAD3-0E05A9A8EA41_27.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,22672A5D-BA32-4FD8-AFB3-1BC05579F68F_170.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,22672A5D-BA32-4FD8-AFB3-1BC05579F68F_177.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,22E99395-4CE2-4DFF-BD85-07B353C5C285_5.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,236BFAF6-2542-4736-8434-AC2B232ABA3E_57.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,23D0993D-6054-45A8-ADB5-E72D4EDD6743_55.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,weta,24774719-08EE-4959-BEFD-842F11D13CD9_118.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,25876C8F-AA8A-4B81-B174-FE17433685EE_58.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,25876C8F-AA8A-4B81-B174-FE17433685EE_94.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,25ED1D8B-5CDB-4987-A0C2-4122D3AEA997_258.flac,,Tui/bellbird,"Silvereye, Unknown high-pitched call",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,25EF3B1C-8A7E-487C-8578-0DF8DDC542CA_297.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurgre1,262738FC-36ED-4214-BA1C-62742C6C5C19_269.flac,,At least 2 more species,Tomtit,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,262C36B0-115E-4FCB-892D-04DDBD10FE32_47.flac,,Grey warbler,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,26587C95-CB4B-44ED-8B85-4F9A8EDEBCC9_267.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,26A3D5CE-3485-4B0A-0A93-E7859B349350_76.flac,,Kaka,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,26BD434C-9666-4E69-AFF8-2DD59C8C5C2C_27.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,27BA893C-A91A-483B-ABBD-0B1F6237F5D3_19.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,27E30FBA-57CF-4961-A452-000383AF8F32_26.flac,,?,Fantail,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,weta,282A6F47-58CE-4F63-0841-5D237D4F6C55_111.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,289CF73E-5826-4BCA-B420-15645BEEE29D_147.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,2934C0F8-C1D9-49F8-97CD-E240406CBDF2_141.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,2A69D35C-2AEA-4C71-8377-0F2B5C75BEEB_117.flac,,?,,Very short
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,2B3AA66C-0EBA-42AA-A764-7417AE582691_237.flac,,,,"Poor quality, rain"
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,2BE96EDB-4866-4715-A07B-72EB9FAA56BA_163.flac,,Shining Cuckoo,"Chaffinch, tui/bellbird",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,2CABDAB9-E981-41BD-981F-CC1CDC3B79ED_128.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,2DC3374B-D709-4134-90A3-17EBEE289FF0_71.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,2DC3E4E5-FC4C-4958-0BC5-1DF21D2D7B92_117.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,2ED55646-E370-495D-AF94-8CE6119D7C15_237.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,2F028E42-F142-40DC-A153-431AB0EF21A2_237.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,2FBFD712-F736-43DE-B919-C26BB63EC893_207.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,parake,2FC735A6-CEDF-4629-0BC2-224AEE799EF5_294.flac,,Greenfinch,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,301F6607-6E0A-4EB0-087A-002A1A73A417_237.flac,,Tui/bellbird,Fantail,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,3024FEE7-59FE-4B06-8545-008624FBC20D_69.flac,,Fantail,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,30E7A52C-55DB-48EF-B018-01842FD9F86A_27.flac,,Unknown high-pitched call,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,30FE1597-0C28-46AD-ADBF-3EA1D8E84779_177.flac,,Starling,"Silvereye, Unknown high-pitched call, tui/bellbird",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,3108B797-259D-4DA7-9251-6FB4B65384A0_27.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,312BEA53-B9AF-417E-8952-616CC423957A_173.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,314AFFE8-FA5B-4113-8E8C-15C1CF1D3674_147.flac,,Fantail,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3151855A-56F3-4C83-8F83-0BE303F21E4B_4.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3166B91F-CB56-4DD5-8DC4-E5EF5A57D8E3_148.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,31ABBF54-1774-4751-AA9F-64CB6C98D171_237.flac,,blackbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,31F1F51A-8816-4825-9E94-9E944D7CF7A4_147.flac,,Tomtit,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,32B54134-FE01-45D2-BAA3-0ABD9E2E9787_297.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,32BD36B9-72DB-447E-A530-ABA9B19EB3C1_137.flac,,Tui/bellbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,32EE61C0-8741-4230-9B37-A18979BA13CA_147.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,3325E51F-66D2-4983-84E6-63C29C7662BA_117.flac,,Tui/bellbird,chaffinch,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3330B283-6164-484D-0B28-D4DA3FC1715D_207.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,342F9A16-92FE-4E0A-B817-CD485E1160A4_27.flac,,Tui/bellbird,"Silvereye, Unknown high-pitched call",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,34EE9698-8C9E-40CC-BDA2-DDC0A4D770BE_11.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,35589EB7-FF20-409E-A27C-C66FC2AC3D37_2.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,3585E4F1-3FBF-473F-AF86-00F67882B76C_27.flac,,blackbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,35D70081-E1A1-4280-BF75-79A12646B11D_87.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,36827C52-2A67-45D9-84DB-3118505BECD8_1.flac,,silvereye,Tomtit,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,36D5E1C9-0C95-42BB-A53E-979228ADCA24_207.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezfan1,372B2220-0566-4935-9D60-9A6D3AC00FE3_183.flac,,Unknown high-pitched call,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,37500935-CE7F-4D77-967B-B84B8A53815D_228.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,3949FD63-45BD-4A17-9E21-077289636B60_22.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,39E8BAAB-2E13-4DE4-AC9B-6F4BEFC52B6D_207.flac,,Tui/bellbird,?,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,39F4F212-8FB3-434E-A912-4335B41D21F6_207.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3A4E5DE8-A3DB-4A07-0B8E-E48ED26D92F6_4.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,3A58DA44-2572-4C37-9EAA-0D0B6ADB7FDC_27.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3A63AE34-A5F0-4586-082E-A13EA3C56BD5_29.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,3A6AFE4D-9938-42C2-8B53-462E493D4FC1_297.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3A8BA49A-E523-4172-8A15-2F20D9A4362E_237.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3B78CF4C-5750-4D00-BA64-BA37454DF4EA_117.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3BA9DE7F-2E04-4594-8316-0ECF5D86D8C3_103.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,3C01A26B-A3FF-4FD4-809F-B59E4242241C_43.flac,,Tui/bellbird,Fly,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,3C4C60DD-0309-45F7-A65F-64FF5D4C9686_87.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,3C59B786-E897-4886-9270-429C90C65DFF_19.flac,,?,"Grey warbler, Unknown high-pitched call",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,3C84E825-7E93-4F7B-8687-BA194F80CE25_4.flac,,blackbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,3D46B625-B956-4F93-907C-0FEEA8E36F98_4.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3D5FE031-5445-4FE4-A81A-A356F3C15D48_57.flac,,song thrush,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3E31D888-97CB-4C3A-0B07-4A1E59BC9BBA_177.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,3E7048DF-50C8-4B41-89B5-BA6DF0747BEF_237.flac,,?,?,Poor quality
